,name,position,team,cost,points
290,Sean Longstaff,MID,NEW,5.0,44
291,Bowen,MID,WHU,6.5,44
292,Nakamba,MID,AVL,4.5,43
293,Bergwijn,MID,TOT,7.5,43
294,Willock,MID,ARS,5.0,41
295,McCarthy,MID,CRY,4.5,41
296,Soucek,MID,WHU,5.0,41
297,Berge,MID,SHU,5.0,40
298,Djenepo,MID,SOU,5.5,40
299,Martinelli,MID,ARS,5.0,39
301,Obafemi,FWD,SOU,5.0,45
302,Benteke,FWD,CRY,5.5,42
304,Martínez,GKP,ARS,4.5,33
306,Matip,DEF,LIV,5.5,39
307,Garcia,DEF,MCI,5.0,38
308,Krafth,DEF,NEW,4.5,37
309,Dier,DEF,TOT,5.0,36
310,Justin,DEF,LEI,4.5,35
311,Hause,DEF,AVL,4.5,34
312,Christensen,DEF,CHE,5.0,34
313,Stones,DEF,MCI,5.0,34
314,Walker-Peters,DEF,SOU,4.5,32
315,Bennett,DEF,WOL,4.5,32
316,Vinagre,DEF,WOL,4.5,32
318,Bissouma,MID,BHA,4.5,39
319,André Gomes,MID,EVE,5.5,39
320,March,MID,BHA,5.0,38
321,Albrighton,MID,LEI,5.5,38
322,Mata,MID,MUN,6.0,38
323,Atsu,MID,NEW,5.5,37
324,Choudhury,MID,LEI,5.0,35
325,Boufal,MID,SOU,5.5,34
326,Alzate,MID,BHA,4.5,33
327,Brady,MID,BUR,5.0,32
328,Lingard,MID,MUN,6.0,32
329,Nelson,MID,ARS,5.5,30
330,Gudmundsson,MID,BUR,5.5,30
332,Vydra,FWD,BUR,5.0,39
333,Murray,FWD,BHA,5.0,36
334,Carroll,FWD,NEW,5.5,34
335,Callum Robinson,FWD,WBA,5.5,33
336,Samatta,FWD,AVL,6.0,29
338,Gunn,GKP,SOU,4.5,29
339,Adrián,GKP,LIV,4.5,27
340,Martin,GKP,WHU,4.0,20
341,Roberto,GKP,WHU,4.5,18
343,Lamptey,DEF,BHA,4.5,26
344,Fuchs,DEF,LEI,4.5,26
345,Yedlin,DEF,NEW,4.5,26
346,Masuaku,DEF,WHU,4.5,26
347,Lejeune,DEF,NEW,4.5,24
348,Taylor,DEF,AVL,4.5,22
349,Bernardo,DEF,BHA,4.0,21
350,Long,DEF,BUR,4.5,21
351,Emerson,DEF,CHE,5.0,19
352,Morgan,DEF,LEI,4.5,19
353,Valery,DEF,SOU,5.0,18
355,Jahanbakhsh,MID,BHA,5.5,28
356,Lallana,MID,BHA,6.5,27
357,Matty Longstaff,MID,NEW,5.0,27
358,Podence,MID,WOL,5.5,25
359,Delph,MID,EVE,5.0,24
360,Smallbone,MID,SOU,4.5,24
361,Meyer,MID,CRY,5.0,23
362,Riedewald,MID,CRY,4.5,22
363,Brownhill,MID,BUR,5.0,21
364,Osborn,MID,SHU,5.0,19
365,Jota,MID,AVL,6.0,17
367,Batshuayi,FWD,CHE,6.0,28
368,Nketiah,FWD,ARS,6.0,25
369,Davis,FWD,AVL,4.5,25
370,Tosun,FWD,EVE,6.0,24
372,Nyland,GKP,AVL,4.0,15
373,Caballero,GKP,CHE,5.0,13
374,Bravo,GKP,MCI,4.5,11
375,Hennessey,GKP,CRY,4.5,7
377,Tanganga,DEF,TOT,5.0,17
378,Holding,DEF,ARS,4.5,16
379,Thomas,DEF,LEI,4.5,15
380,Williams,DEF,LIV,4.0,14
381,Jack Robinson,DEF,SHU,4.5,14
382,Sakho,DEF,CRY,4.5,11
383,Branthwaite,DEF,EVE,4.0,11
384,Bailly,DEF,MUN,5.0,9
385,Sessegnon,DEF,TOT,5.0,9
386,Marí,DEF,ARS,4.5,8
387,Tuanzebe,DEF,MUN,4.5,7
389,Gordon,MID,EVE,4.5,17
390,Shaqiri,MID,LIV,6.5,15
391,Jones,MID,LIV,4.5,13
392,Freeman,MID,SHU,5.0,13
393,Lansbury,MID,AVL,4.5,12
394,Mac Allister,MID,BHA,5.5,12
395,Loftus-Cheek,MID,CHE,6.0,12
396,Minamino,MID,LIV,6.5,11
397,Gibbs-White,MID,WOL,5.0,11
398,Gilmour,MID,CHE,4.5,9
399,Wilshere,MID,WHU,5.0,8
401,Wickham,FWD,CRY,4.5,15
402,Ighalo,FWD,MUN,6.5,11
403,Muto,FWD,NEW,5.0,9
404,Ajeti,FWD,WHU,5.5,9
406,Moore,GKP,SHU,4.5,3
407,Randolph,GKP,WHU,4.5,3
408,Steer,GKP,AVL,4.0,1
410,Fosu-Mensah,DEF,MUN,4.5,7
411,Johnson,DEF,WHU,4.0,6
412,Kilman,DEF,WOL,4.0,5
413,Mitchell,DEF,CRY,4.0,4
414,Dalot,DEF,MUN,5.0,4
415,Rojo,DEF,MUN,5.0,3
416,Foyth,DEF,TOT,4.5,3
417,Jones,DEF,MUN,5.0,2
418,Vokins,DEF,SOU,4.0,2
419,Watts,DEF,NEW,4.0,1
420,Saliba,DEF,ARS,4.5,0
421,Gabriel,DEF,ARS,5.0,0
422,Bree,DEF,AVL,4.5,0
423,Cash,DEF,AVL,5.0,0
425,Fernandes,MID,TOT,5.0,7
426,Skipp,MID,TOT,4.5,7
427,Smith Rowe,MID,ARS,4.5,4
428,Gbamin,MID,EVE,5.0,4
429,Chong,MID,MUN,4.5,3
430,Pierrick,MID,CRY,4.5,2
431,Elliott,MID,LIV,4.5,2
432,James,MID,LEI,4.5,1
433,Doyle,MID,MCI,4.5,1
434,Garner,MID,MUN,4.5,1
435,Jordao,MID,WOL,4.5,1
437,Andone,FWD,BHA,5.0,5
438,Vassilev,FWD,AVL,4.5,4
440,Walton,GKP,BHA,4.0,0
441,Peacock-Farrell,GKP,BUR,4.0,0
442,Lössl,GKP,EVE,4.5,0
443,Virgínia,GKP,EVE,4.5,0
444,Fabri,GKP,FUL,4.0,0
445,Bettinelli,GKP,FUL,4.5,0
446,Rodák,GKP,FUL,4.5,0
448,Veltman,DEF,BHA,4.5,0
449,Clarke,DEF,BHA,4.5,0
450,White,DEF,BHA,4.5,0
451,Gibson,DEF,BUR,4.0,0
452,Thiago Silva,DEF,CHE,5.5,0
453,Ferguson,DEF,CRY,4.0,0
454,Kenny,DEF,EVE,4.5,0
455,Le Marchand,DEF,FUL,4.5,0
456,Ream,DEF,FUL,4.5,0
457,Hector,DEF,FUL,4.5,0
458,Christie,DEF,FUL,4.5,0
459,Bryan,DEF,FUL,5.0,0
460,Mawson,DEF,FUL,4.5,0
461,Sessegnon,DEF,FUL,4.5,0
462,Robinson,DEF,FUL,4.5,0
464,Izquierdo,MID,BHA,5.5,0
465,Ziyech,MID,CHE,8.0,0
466,Havertz,MID,CHE,8.5,0
467,Eze,MID,CRY,6.0,0
468,Allan,MID,EVE,5.5,0
469,Rodríguez,MID,EVE,7.5,0
471,Watkins,FWD,AVL,6.0,0
472,Werner,FWD,CHE,9.5,0
474,Ward,GKP,LEI,4.5,0
475,Casilla,GKP,LEE,4.5,0
476,Miazek,GKP,LEE,4.0,0
477,Meslier,GKP,LEE,4.5,0
479,Amartey,DEF,LEI,4.0,0
480,Benkovic,DEF,LEI,4.5,0
481,Castagne,DEF,LEI,5.5,0
482,Cooper,DEF,LEE,4.5,0
483,Douglas,DEF,LEE,4.0,0
484,Ayling,DEF,LEE,4.5,0
485,Dallas,DEF,LEE,4.5,0
486,Alioski,DEF,LEE,4.5,0
487,Struijk,DEF,LEE,4.0,0
488,Davis,DEF,LEE,4.0,0
489,Casey,DEF,LEE,4.0,0
491,McDonald,MID,FUL,5.0,0
492,Johansen,MID,FUL,5.0,0
493,Cairney,MID,FUL,5.5,0
494,Knockaert,MID,FUL,5.5,0
495,Kebano,MID,FUL,5.0,0
496,Cavaleiro,MID,FUL,5.5,0
497,Onomah,MID,FUL,5.0,0
498,Seri,MID,FUL,5.0,0
499,Kamara,MID,FUL,5.0,0
500,Anguissa,MID,FUL,4.5,0
501,Reed,MID,FUL,4.5,0
502,Lemina,MID,FUL,4.5,0
503,Silva,MID,LEI,4.5,0
505,Decordova-Reid,FWD,FUL,5.5,0
506,Mitrović,FWD,FUL,6.0,0
508,Romero,GKP,MUN,5.0,0
509,Darlow,GKP,NEW,5.0,0
510,Gillespie,GKP,NEW,4.5,0
511,Foderingham,GKP,SHU,4.5,0
513,Koch,DEF,LEE,4.5,0
514,Tsimikas,DEF,LIV,5.0,0
515,Smalling,DEF,MUN,5.0,0
516,Mengi,DEF,MUN,4.0,0
517,Ampadu,DEF,SHU,4.5,0
518,Bogle,DEF,SHU,4.5,0
519,Lowe,DEF,SHU,4.5,0
521,Hernández,MID,LEE,6.0,0
522,Klich,MID,LEE,5.5,0
523,Forshaw,MID,LEE,5.0,0
524,Harrison,MID,LEE,5.5,0
525,Phillips,MID,LEE,5.0,0
526,Costa,MID,LEE,5.5,0
527,Roberts,MID,LEE,5.0,0
528,Grot,MID,LEE,5.0,0
529,Poveda-Ocampo,MID,LEE,4.5,0
530,Shackleton,MID,LEE,5.0,0
531,Stevens,MID,LEE,4.5,0
532,Torres,MID,MCI,7.0,0
533,van de Beek,MID,MUN,7.0,0
534,Aarons,MID,NEW,5.0,0
535,Murphy,MID,NEW,5.0,0
536,Burke,MID,SHU,4.5,0
538,Bamford,FWD,LEE,5.5,0
539,Rodrigo,FWD,LEE,6.0,0
540,Brewster,FWD,LIV,4.5,0
542,Hart,GKP,TOT,4.5,0
543,Button,GKP,WBA,4.0,0
544,Johnstone,GKP,WBA,4.5,0
545,Ruddy,GKP,WOL,4.5,0
546,Sarkic,GKP,WOL,4.5,0
548,Salisu,DEF,SOU,4.5,0
549,Gibbs,DEF,WBA,4.5,0
550,Bartley,DEF,WBA,4.5,0
551,Hegazi,DEF,WBA,4.5,0
552,Townsend,DEF,WBA,4.5,0
553,Ajayi,DEF,WBA,5.0,0
554,Furlong,DEF,WBA,4.5,0
555,O'Shea,DEF,WBA,4.5,0
556,Kipre,DEF,WBA,4.5,0
557,Buur,DEF,WOL,4.0,0
559,Sims,MID,SOU,4.5,0
560,Livermore,MID,WBA,5.0,0
561,Grosicki,MID,WBA,5.5,0
562,Phillips,MID,WBA,5.5,0
563,Sawyers,MID,WBA,5.0,0
564,Leko,MID,WBA,4.5,0
565,Edwards,MID,WBA,5.0,0
566,Field,MID,WBA,5.0,0
567,Harper,MID,WBA,4.5,0
568,Diangana,MID,WBA,5.5,0
569,Pereira,MID,WBA,6.0,0
571,Robson-Kanu,FWD,WBA,5.5,0
572,Austin,FWD,WBA,5.5,0
573,Zohore,FWD,WBA,5.0,0
574,Hugill,FWD,WHU,5.5,0
